Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US12057,"Hillsborough County, Florida",366900,6767
0500000US12061,"Indian River County, Florida",344400,22833
0500000US12069,"Lake County, Florida",307200,10925
0500000US12071,"Lee County, Florida",361400,6355
0500000US12073,"Leon County, Florida",287700,13070
0500000US12081,"Manatee County, Florida",398200,12251
0500000US12083,"Marion County, Florida",243200,8660
0500000US12085,"Martin County, Florida",433200,20008
0500000US12086,"Miami-Dade County, Florida",453300,5348
0500000US12087,"Monroe County, Florida",718600,51458
0500000US12089,"Nassau County, Florida",382900,20182
0500000US12091,"Okaloosa County, Florida",350800,9630
0500000US12095,"Orange County, Florida",378200,6165
0500000US12097,"Osceola County, Florida",346900,7779
0500000US12099,"Palm Beach County, Florida",439400,7353
0500000US12101,"Pasco County, Florida",306500,9278
0500000US12103,"Pinellas County, Florida",359400,6863
0500000US12105,"Polk County, Florida",267500,6605
0500000US12107,"Putnam County, Florida",149900,30369
0500000US12109,"St. Johns County, Florida",490600,17618
0500000US12111,"St. Lucie County, Florida",343900,9151
0500000US12113,"Santa Rosa County, Florida",327800,12677
0500000US12115,"Sarasota County, Florida",406700,13186
0500000US12117,"Seminole County, Florida",386300,10571
0500000US12119,"Sumter County, Florida",367200,8632
0500000US12127,"Volusia County, Florida",306200,9494
0500000US12131,"Walton County, Florida",398600,45866
0500000US13013,"Barrow County, Georgia",315900,14691
0500000US13015,"Bartow County, Georgia",288900,14943
0500000US13021,"Bibb County, Georgia",178700,12069
0500000US13031,"Bulloch County, Georgia",206200,26873
0500000US13045,"Carroll County, Georgia",262000,14116
0500000US13047,"Catoosa County, Georgia",226900,23330
0500000US13051,"Chatham County, Georgia",291400,12041
0500000US13057,"Cherokee County, Georgia",427500,11874
0500000US13059,"Clarke County, Georgia",308000,21233
0500000US13063,"Clayton County, Georgia",222800,8548
0500000US13067,"Cobb County, Georgia",398000,6600
0500000US13073,"Columbia County, Georgia",291100,16194
0500000US13077,"Coweta County, Georgia",359600,11604
0500000US13089,"DeKalb County, Georgia",352200,7606
0500000US13095,"Dougherty County, Georgia",120500,11597
0500000US13097,"Douglas County, Georgia",295700,17592
0500000US13103,"Effingham County, Georgia",265400,23888
0500000US13113,"Fayette County, Georgia",430800,16815
0500000US13115,"Floyd County, Georgia",187900,17143
0500000US13117,"Forsyth County, Georgia",536700,16227
0500000US13121,"Fulton County, Georgia",447100,12204
0500000US13127,"Glynn County, Georgia",264600,27242
0500000US13135,"Gwinnett County, Georgia",381700,5163
0500000US13139,"Hall County, Georgia",355500,13183
0500000US13151,"Henry County, Georgia",295000,8848
0500000US13153,"Houston County, Georgia",213900,15573
0500000US13157,"Jackson County, Georgia",325800,18002
0500000US13179,"Liberty County, Georgia",177800,16347
0500000US13185,"Lowndes County, Georgia",206100,13088
0500000US13215,"Muscogee County, Georgia",185600,12308
0500000US13217,"Newton County, Georgia",278800,16309
0500000US13223,"Paulding County, Georgia",312400,12803
0500000US13245,"Richmond County, Georgia",146000,11574
0500000US13247,"Rockdale County, Georgia",274200,13167
0500000US13255,"Spalding County, Georgia",232900,21020
0500000US13285,"Troup County, Georgia",227600,17506
0500000US13295,"Walker County, Georgia",185100,20152
0500000US13297,"Walton County, Georgia",329800,18225
0500000US13313,"Whitfield County, Georgia",209200,16738
0500000US15001,"Hawaii County, Hawaii",535600,37798
0500000US15003,"Honolulu County, Hawaii",874500,13130
0500000US15007,"Kauai County, Hawaii",854600,38486
0500000US15009,"Maui County, Hawaii",922700,35914
0500000US16001,"Ada County, Idaho",549800,10589
0500000US16005,"Bannock County, Idaho",313000,19460
0500000US16019,"Bonneville County, Idaho",368300,15988
0500000US16027,"Canyon County, Idaho",397700,10588
0500000US16055,"Kootenai County, Idaho",547800,24976
0500000US16083,"Twin Falls County, Idaho",340600,18457
0500000US17019,"Champaign County, Illinois",199100,12989
0500000US17031,"Cook County, Illinois",301400,3568
0500000US17037,"DeKalb County, Illinois",227400,11208
0500000US17043,"DuPage County, Illinois",364900,4655
0500000US17089,"Kane County, Illinois",307600,8132
0500000US17091,"Kankakee County, Illinois",198400,14476
0500000US17093,"Kendall County, Illinois",311500,15114
0500000US17097,"Lake County, Illinois",327800,8930
0500000US17099,"LaSalle County, Illinois",157100,5250
0500000US17111,"McHenry County, Illinois",292400,8437
0500000US17113,"McLean County, Illinois",190900,10448
0500000US17115,"Macon County, Illinois",108900,8772
0500000US17119,"Madison County, Illinois",170500,5983
0500000US17143,"Peoria County, Illinois",155800,7999
0500000US17161,"Rock Island County, Illinois",138400,7540
0500000US17163,"St. Clair County, Illinois",170100,6736
0500000US17167,"Sangamon County, Illinois",160500,7996
0500000US17179,"Tazewell County, Illinois",157800,9387
0500000US17183,"Vermilion County, Illinois",93700,5851
0500000US17197,"Will County, Illinois",300900,5707
0500000US17199,"Williamson County, Illinois",155100,13339
0500000US17201,"Winnebago County, Illinois",161600,5739
0500000US18003,"Allen County, Indiana",200100,6339
0500000US18005,"Bartholomew County, Indiana",207800,17262
0500000US18011,"Boone County, Indiana",359100,22023
0500000US18019,"Clark County, Indiana",219000,7941
0500000US18035,"Delaware County, Indiana",135800,10151
0500000US18039,"Elkhart County, Indiana",200400,13062
0500000US18043,"Floyd County, Indiana",246700,17272
0500000US18053,"Grant County, Indiana",115400,11242
0500000US18057,"Hamilton County, Indiana",388100,11344
0500000US18059,"Hancock County, Indiana",273900,16151
0500000US18063,"Hendricks County, Indiana",286700,12487
0500000US18067,"Howard County, Indiana",158300,8952
0500000US18081,"Johnson County, Indiana",282300,12405
0500000US18085,"Kosciusko County, Indiana",210700,11922
0500000US18089,"Lake County, Indiana",225200,6062
0500000US18091,"LaPorte County, Indiana",181500,14335
0500000US18095,"Madison County, Indiana",156900,7058
0500000US18097,"Marion County, Indiana",216800,4629
0500000US18105,"Monroe County, Indiana",273900,12470
0500000US18109,"Morgan County, Indiana",228900,10758
0500000US18127,"Porter County, Indiana",266900,9507
0500000US18141,"St. Joseph County, Indiana",187400,8743
0500000US18157,"Tippecanoe County, Indiana",221100,10544
0500000US18163,"Vanderburgh County, Indiana",165800,6842
0500000US18167,"Vigo County, Indiana",145900,11606
0500000US18173,"Warrick County, Indiana",250400,14769
0500000US18177,"Wayne County, Indiana",134000,10629
0500000US19013,"Black Hawk County, Iowa",179700,10992
0500000US19049,"Dallas County, Iowa",360000,15968
0500000US19061,"Dubuque County, Iowa",224800,11826
0500000US19103,"Johnson County, Iowa",274500,11911
0500000US19113,"Linn County, Iowa",195800,6965
0500000US19153,"Polk County, Iowa",252300,7286
0500000US19155,"Pottawattamie County, Iowa",193800,12129
0500000US19163,"Scott County, Iowa",196500,12290
0500000US19169,"Story County, Iowa",250700,18346
0500000US19193,"Woodbury County, Iowa",178500,9372
0500000US20015,"Butler County, Kansas",190600,15385
0500000US20045,"Douglas County, Kansas",308800,23971
0500000US20091,"Johnson County, Kansas",369400,5115
0500000US20103,"Leavenworth County, Kansas",261400,21144
0500000US20161,"Riley County, Kansas",217900,24510
0500000US20173,"Sedgwick County, Kansas",197700,7020
0500000US20177,"Shawnee County, Kansas",166900,6201
0500000US20209,"Wyandotte County, Kansas",174500,8477
0500000US21015,"Boone County, Kentucky",266500,13039
0500000US21029,"Bullitt County, Kentucky",240900,14839
0500000US21037,"Campbell County, Kentucky",242200,16134
0500000US21047,"Christian County, Kentucky",157000,29215
0500000US21059,"Daviess County, Kentucky",181400,13681
0500000US21067,"Fayette County, Kentucky",287100,10233
0500000US21093,"Hardin County, Kentucky",205700,16480
0500000US21111,"Jefferson County, Kentucky",242900,5433
0500000US21117,"Kenton County, Kentucky",223100,11463
0500000US21145,"McCracken County, Kentucky",192300,14509
0500000US21151,"Madison County, Kentucky",219100,12768
0500000US21185,"Oldham County, Kentucky",395400,22227
0500000US21199,"Pulaski County, Kentucky",158200,10089
0500000US21227,"Warren County, Kentucky",258000,13681
0500000US22005,"Ascension Parish, Louisiana",269600,13264
0500000US22015,"Bossier Parish, Louisiana",219700,14383
0500000US22017,"Caddo Parish, Louisiana",167600,6970
0500000US22019,"Calcasieu Parish, Louisiana",217300,9827
0500000US22033,"East Baton Rouge Parish, Louisiana",234100,10507
0500000US22045,"Iberia Parish, Louisiana",148300,18543
0500000US22051,"Jefferson Parish, Louisiana",261600,7882
0500000US22055,"Lafayette Parish, Louisiana",228600,8002
0500000US22057,"Lafourche Parish, Louisiana",178600,16409
0500000US22063,"Livingston Parish, Louisiana",229400,11987
0500000US22071,"Orleans Parish, Louisiana",302700,15738
0500000US22073,"Ouachita Parish, Louisiana",178200,18707
0500000US22079,"Rapides Parish, Louisiana",188000,12133
0500000US22097,"St. Landry Parish, Louisiana",119700,14103
0500000US22103,"St. Tammany Parish, Louisiana",276800,11815
0500000US22105,"Tangipahoa Parish, Louisiana",190800,11552
0500000US22109,"Terrebonne Parish, Louisiana",185400,9683
0500000US23001,"Androscoggin County, Maine",248300,12855
0500000US23003,"Aroostook County, Maine",141400,12779
0500000US23005,"Cumberland County, Maine",442300,10670
0500000US23011,"Kennebec County, Maine",228900,11374
0500000US23019,"Penobscot County, Maine",201400,11707
0500000US23031,"York County, Maine",381700,12747
0500000US24001,"Allegany County, Maryland",141300,16494
0500000US24003,"Anne Arundel County, Maryland",453800,8445
0500000US24005,"Baltimore County, Maryland",329600,6421
0500000US24009,"Calvert County, Maryland",438900,18691
0500000US24013,"Carroll County, Maryland",415800,15429
0500000US24015,"Cecil County, Maryland",316200,19079
0500000US24017,"Charles County, Maryland",399500,15041
0500000US24021,"Frederick County, Maryland",453400,9359
0500000US24025,"Harford County, Maryland",359300,11246
0500000US24027,"Howard County, Maryland",580600,13720
0500000US24031,"Montgomery County, Maryland",614000,9501
0500000US24033,"Prince George's County, Maryland",410800,6837
0500000US24037,"St. Mary's County, Maryland",393900,18186
0500000US24043,"Washington County, Maryland",283600,12188
0500000US24045,"Wicomico County, Maryland",248700,13793
0500000US24510,"Baltimore city, Maryland",210300,8236
0500000US25001,"Barnstable County, Massachusetts",631000,18115
0500000US25003,"Berkshire County, Massachusetts",307800,14039
0500000US25005,"Bristol County, Massachusetts",432000,6826
